MARKET,NUMER SKLEPU,IP
Ślesin (kuj-pom) 1,10455,10.84.55.100
Wawrów 1,10456,10.84.56.100
Zawada 1,10457,10.84.57.100
Zbąszynek 1,10458,10.84.58.100
Cieszków 1,10459,10.84.59.100
Lipno (Wlkp) 2,10460,10.84.60.100
Jelenia Góra 3,10461,10.84.61.100
Łódź 4,10462,10.84.62.100
Ostrzeszów 1,10463,10.84.63.100
Łódź 5,10464,10.84.64.100
Grodzisk Wlkp. 1,10465,10.84.65.100
Jelenia Góra 4,10466,10.84.66.100
Kalisz 4,10467,10.84.67.100
Kłodzko 1,10469,10.84.69.100
Wolsztyn 1,10470,10.84.70.100
Stara Kamienica 1,10471,10.84.71.100
Żmigród 2,10472,10.84.72.100
Bartniczka 1,10473,10.84.73.100
Bełchatów 1,10474,10.84.74.100
Bielawy 1,10475,10.84.75.100
Bnin 1,10476,10.84.76.100
Dobre 1,10477,10.84.77.100
Bukowiec 1,10479,10.84.79.100
Chęciny 1,10480,10.84.80.100
Dąbrowa Górnicza 1,10482,10.84.82.100
Gadka 1,10483,10.84.83.100
Gowarczów 1,10484,10.84.84.100
Justynów 1,10487,10.84.87.100
Koło 2,10488,10.84.88.100
Kowalewo Pomorskie 1,10489,10.84.89.100
Kraszew 1,10490,10.84.90.100
Kup 1,10491,10.84.91.100
Lubsko 1,10492,10.84.92.100
Lubsko 2,10493,10.84.93.100
Lusówko 1,10494,10.84.94.100
Małomice 1,10497,10.84.97.100
Mieszkowice 1,10499,10.84.99.100
Międzychód 1,10501,10.85.1.100
Młoszowa 1,10502,10.85.2.100
Moryń 1,10503,10.85.3.100
Nysa 1,10504,10.85.4.100
Ostrowy 1,10507,10.85.7.100
Żytno 1,10508,10.85.8.100
Pawłowice 2,10509,10.85.9.100
Pawłowiczki 1,10510,10.85.10.100
Piła 1,10511,10.85.11.100
Pleszew 2,10513,10.85.13.100
Pleszew 3,10514,10.85.14.100
Pogwizdów 1,10515,10.85.15.100
Pruchna 1,10516,10.85.16.100
Psary 1,10518,10.85.18.100
Pszczew 1,10519,10.85.19.100
Racibórz 1,10520,10.85.20.100
Radwanice 1,10521,10.85.21.100
Radziechowy 1,10522,10.85.22.100
Ruda Śląska 1,10523,10.85.23.100
Ryczywół 1,10524,10.85.24.100
Rynarzewo 1,10525,10.85.25.100
Sędziszów 1,10526,10.85.26.100
Skoroszyce 1,10527,10.85.27.100
Sławków 1,10528,10.85.28.100
Świebodzin 2,10529,10.85.29.100
Tłuchówek 1,10530,10.85.30.100
Tupadły 1,10532,10.85.32.100
Waganiec 1,10533,10.85.33.100
Warlubie 1,10534,10.85.34.100
Wielka Wieś 1,10535,10.85.35.100
Włoszczowa 1,10536,10.85.36.100
Wojcieszów 1,10537,10.85.37.100
Wręczyca Wielka 1,10539,10.85.39.100
Wyrzysk 1,10540,10.85.40.100
Zielona Góra 1,10542,10.85.42.100
Złotniki Kujawskie 1,10543,10.85.43.100
Żarki 1,10544,10.85.44.100
Żary 2,10545,10.85.45.100
Grodzisk Wlkp. 2,10546,10.85.46.100
Jelenia Góra 5,10547,10.85.47.100
Lubsza 1,10548,10.85.48.100
Niechanowo 1,10549,10.85.49.100
Orońsko 1,10550,10.85.50.100
Słubice 1,10551,10.85.51.100
Włocławek 4,10552,10.85.52.100
Daszyna 1,10554,10.85.54.100
