MARKET,NUMER SKLEPU,IP
Grabik 1,11935,10.89.135.100
Iława 1,11937,10.89.137.100
Kleszczów (Łódź) 1,11940,10.89.140.100
Klęka 1,11941,10.89.141.100
Koronowo (KujPom) 1,11945,10.89.145.100
Kożuchów 3,11948,10.89.148.100
Kruszewo (Wlkp) 1,11950,10.89.150.100
Kurów,11952,10.89.152.100
Lubięcin 1,11953,10.89.153.100
Lubin 3,11954,10.89.154.100
Ścinawa 2,11955,10.89.155.100
Łąkie 1,11956,10.89.156.100
Łubnica (Wlkp) 1,11957,10.89.157.100
Miętne 1,11960,10.89.160.100
Mikstat 2,11961,10.89.161.100
Oleśnica 1 (świet),11964,10.89.164.100
Pleszew 5,11966,10.89.166.100
Polnica 1,11968,10.89.168.100
Przyjmo 1,11970,10.89.170.100
Rozdrażew 2,11974,10.89.174.100
Siemirowice 1,11976,10.89.176.100
Świętno 1,11980,10.89.180.100
Zduńska Wola 5,11987,10.89.187.100
Bielice (warm-maz) 1,11990,10.89.190.100
Brody 1,11993,10.89.193.100
Bronisławów 1,11994,10.89.194.100
Chojny 1,11995,10.89.195.100
Dobryszyce 1,11998,10.89.198.100
Dziwnówek 1,12000,10.50.0.100
Grabowo 1,12004,10.50.4.100
Grodziczno 1,12005,10.50.5.100
Irządze (Śl) 1,12007,10.50.7.100
Konin 4,12009,10.50.9.100
Kożuchów 2,12012,10.50.12.100
Kraśnik Dolny 1,12013,10.50.13.100
Krzepielów 1,12014,10.50.14.100
Nowa Wieś (Warszawsko zachodni,12020,10.50.20.100
Nowiny (Maz) 1,12021,10.50.21.100
Ostrowiec Świętokrzyski 2,12027,10.50.27.100
Ostrowite (wlkp) 1,12028,10.50.28.100
Romanowo Dolne 1,12032,10.50.32.100
Różewo (ZachPom) 1,12033,10.50.33.100
Skalmierzyce 1,12034,10.50.34.100
Starachowice 1,12035,10.50.35.100
Stąporków 1,12036,10.50.36.100
Tczew 2,12039,10.50.39.100
Turew 1,12040,10.50.40.100
Witnica (ZachPom) 1,12041,10.50.41.100
Wsola 1,12042,10.50.42.100
Żerków 2,12043,10.50.43.100
Bielcza 1,12044,10.50.44.100
Borzęcice 1,12046,10.50.46.100
Chrzanów 1,12048,10.50.48.100
Dobromierz (Dol) 1,12049,10.50.49.100
Dzietrzniki 1,12051,10.50.51.100
Gościszów 1,12054,10.50.54.100
Granowiec 1,12055,10.50.55.100
Imielno 1,12056,10.50.56.100
Jaworzno (Śl) 2,12061,10.50.61.100
Kłecko 2,12065,10.50.65.100
Konin 1,12066,10.50.66.100
Koszalin 3,12067,10.50.67.100
Leszno Górne 1,12070,10.50.70.100
Ligota Wołczyńska 1,12071,10.50.71.100
Łagów (Święt) 1,12074,10.50.74.100
Łopienno 1,12075,10.50.75.100
Manowo 1,12076,10.50.76.100
Milicz 3,12078,10.50.78.100
Mirostowice Dolne 1,12079,10.50.79.100
Mniszków 1,12080,10.50.80.100
Niziny 1,12083,10.50.83.100
Nowa Sucha 1,12084,10.50.84.100
Jutrosin 2 (Nowy Sielec),12086,10.50.86.100
Polanów 1,12091,10.50.91.100
Policzna 1,12092,10.50.92.100
Radziwiłłów (Maz) 1,12093,10.50.93.100
Sława 2,12099,10.50.99.100
Słupca 1,12100,10.51.0.100
Smołdzino 1,12101,10.51.1.100
Staniszewo (Pom) 1,12102,10.51.2.100
Szczecin 2,12105,10.51.5.100
Trąbki Wielkie,12108,10.51.8.100
Wądroże Wielkie 1,12111,10.51.11.100
Wielowieś (Śl) 1,12112,10.51.12.100
Wołczyn 1,12114,10.51.14.100
Zawonia 2,12115,10.51.15.100
Żelechlinek 1,12116,10.51.16.100
Bydgoszcz 3,12118,10.51.18.100
kwica [I],12119,10.51.19.100
Ciechocin (KujPom)1,12120,10.51.20.100
Czyczkowy 1,12121,10.51.21.100
Dobromierz (święt) 1,12123,10.51.23.100
Gniezno 3,12124,10.51.24.100
Grabów Nad Prosną 2,12126,10.51.26.100
Gryfino 1,12128,10.51.28.100
Magnuszew 1,12134,10.51.34.100
Maków (Łódź) 1,12135,10.51.35.100
Mirocin Dolny 1,12137,10.51.37.100
Mordarka 1,12138,10.51.38.100
Mostki (Staszowski) 1,12139,10.51.39.100
Olszowa 1,12141,10.51.41.100
Pępowo 2,12142,10.51.42.100
Radzanów (Białobrzeski) 1,12146,10.51.46.100
Rojów 1,12147,10.51.47.100
Skrzydlna 1,12150,10.51.50.100
Sławsk 1,12151,10.51.51.100
Szydłowiec 1,12154,10.51.54.100
Świebodzin 3,12155,10.51.55.100
Tolkmicko 1,12156,10.51.56.100
Truskolasy 1,12157,10.51.57.100
Trzcianka 3,12158,10.51.58.100
Wągrowiec 3,12160,10.51.60.100
Wtórek 1,12161,10.51.61.100
Zelów 2,12163,10.51.63.100
Bodzewo 1,12168,10.51.68.100
Bytom Odrzański 2,12170,10.51.70.100
Cekcyn 1,12171,10.51.71.100
Gałków Duży 1,12176,10.51.76.100
Głowaczów (Maz) 1,12177,10.51.77.100
Gniezno 4,12178,10.51.78.100
Gniezno 5,12179,10.51.79.100
Gościm 1,12181,10.51.81.100
Grabów Wieś (Łódź) 1,12182,10.51.82.100
Lelów 1,12188,10.51.88.100
Leńcze 1,12189,10.51.89.100
Leśno 1,12190,10.51.90.100
Lubań 1,12192,10.51.92.100
Lubin 7,12194,10.51.94.100
Łobez 1,12197,10.51.97.100
Mazurowice 1,12200,10.52.0.100
Mostkowo (ZachPom) 1,12202,10.52.2.100
Myszków 1,12203,10.52.3.100
Opole 4,12207,10.52.7.100
Ryjewo 1,12212,10.52.12.100
Sosnowiec 1,12214,10.52.14.100
Stepnica 1,12217,10.52.17.100
Strzyżewice 1,12218,10.52.18.100
Tarłów 1,12222,10.52.22.100
Węgorzyno 2,12224,10.52.24.100
Wiśniowa Góra 1,12226,10.52.26.100
Zduny (Łowicki) 1,12228,10.52.28.100
Zgorzelec 2,12229,10.52.29.100
Zieleniewo (stargardzki) 1,12230,10.52.30.100
Bytom Odrzański 1,12232,10.52.32.100
Dawidy Bankowe 1,12234,10.52.34.100
Gniezno 6,12236,10.52.36.100
Goszczanów 1,12237,10.52.37.100
Grodziec (Wlkp) 1,12238,10.52.38.100
Krojanty 1,12241,10.52.41.100
Leszno 4,12242,10.52.42.100
Maków Podhalański 1,12245,10.52.45.100
Nowa Wieś Malborska 1,12249,10.52.49.100
Paniówki 1,12250,10.52.50.100
Pisarzowice (Brzeski) 1,12251,10.52.51.100
Płużnica 1,12252,10.52.52.100
Pomiechówek 1,12253,10.52.53.100
Sadowie (Święt) 1,12256,10.52.56.100
Siemyśl 1,12257,10.52.57.100
Tarnowskie Góry 2,12261,10.52.61.100
Aleksandria Pierwsza 1,12267,10.52.67.100
Biała Rawska 2,12268,10.52.68.100
Borek Strzeliński 1,12269,10.52.69.100
Dąbroszyn (Lub) 1,12271,10.52.71.100
Górzyn (Lub) 1,12273,10.52.73.100
Janowiec Wielkopolski 2,12274,10.52.74.100
Kaczorów (Łódź) 1,12275,10.52.75.100
Kokanin 1,12276,10.52.76.100
Korzeńsko 1,12277,10.52.77.100
Łęka Opatowska 1,12279,10.52.79.100
Mrozów 1,12282,10.52.82.100
Pińczyce 1,12285,10.52.85.100
Pobierowo 1,12287,10.52.87.100
Polski Konopat 1,12288,10.52.88.100
Serwis (Święt) 1,12290,10.52.90.100
Wielka Wieś (mal) 1,12294,10.52.94.100
Żydowo (Gnieźnieński) 1,12295,10.52.95.100
Bielawa 2,12297,10.52.97.100
Klimontów (Sandomierski) 1,12299,10.52.99.100
Łowicz 3,12302,10.53.2.100
Wioska (Oleśnicki) 1,12304,10.53.4.100
Rąbień AB 1,12309,10.53.9.100
Śniadowo 1,12311,10.53.11.100
Złocieniec 1,12313,10.53.13.100
Burzenin 1,12316,10.53.16.100
Czechy (Łódź) 1,12317,10.53.17.100
Egiertowo 1,12318,10.53.18.100
Grzymałków 1,12322,10.53.22.100
Księginice (Lubiński) 1,12323,10.53.23.100
Osiek nad Notecią 1,12325,10.53.25.100
Wałbrzych 3,12327,10.53.27.100
Dębowa Łąka 1,12332,10.53.32.100
Nowe 1,12334,10.53.34.100
Piekary Śląskie 3,12335,10.53.35.100
Belęcin 1,12342,10.53.42.100
Gliwice 2,12344,10.53.44.100
Iłowa 2,12345,10.53.45.100
Jankowo Dolne 1,12346,10.53.46.100
Kosowizna 1,12347,10.53.47.100
Męcinka 1,12349,10.53.49.100
Nowa Wieś (Grudziądzki) 1,12350,10.53.50.100
Nowy Staw 1,12351,10.53.51.100
Siennica 1,12352,10.53.52.100
Będków (Tomaszowski) 1,12356,10.53.56.100
Bobrzany 1,12357,10.53.57.100
Jedwabne 1,12361,10.53.61.100
Łomża 1,12362,10.53.62.100
Łukęcin 1,12363,10.53.63.100
Rossoszyca 1,12364,10.53.64.100
Słupia (konecka) 1,12365,10.53.65.100
Witobel 1,12367,10.53.67.100
Zbójna 1,12368,10.53.68.100
Bielawa 3,12369,10.53.69.100
Wiechutki 1,12372,10.53.72.100
Lipno (KujPom) 2,12374,10.53.74.100
Lubań 2,12375,10.53.75.100
Ostrowiec Świętokrzyski 3,12379,10.53.79.100
Pionki 1,12380,10.53.80.100
Radgoszcz (Mał) 1,12382,10.53.82.100
Solec Kujawski 1,12383,10.53.83.100
Włostów (Święt) 1,12384,10.53.84.100
Barkowo (Pom) 1,12386,10.53.86.100
Dobra (ZachPom) 2,12389,10.53.89.100
Jonkowo 1,12392,10.53.92.100
Kutno 4,12395,10.53.95.100
Luszowice (Dąbrowski) 1,12397,10.53.97.100
Łobez 2,12398,10.53.98.100
Międzylesie (Dol) 1,12400,10.54.0.100
Morawin (Kaliski) 1,12402,10.54.2.100
Nowa Wieś Ełcka 1,12404,10.54.4.100
Osiek (Oświęcimski) 1,12409,10.54.9.100
Ostrowy nad Okszą 1,12411,10.54.11.100
Piekary Śląskie 5,12413,10.54.13.100
Podgórzyn (Dol) 1,12414,10.54.14.100
Recz (Zachpom) 1,12417,10.54.17.100
Redło (Świdwiński) 1,12418,10.54.18.100
Rozprza 1,12419,10.54.19.100
Rząśnik (Wyszkowski) 1,12420,10.54.20.100
Siemkowice 2,12421,10.54.21.100
Skępe 1,12423,10.54.23.100
Szczecinek 4,12427,10.54.27.100
Ujanowice 1,12429,10.54.29.100
Zgierz 2,12435,10.54.35.100
Bieruń 2,12437,10.54.37.100
Brzostowo (Wlkp) 1,12439,10.54.39.100
Choszczno 2,12441,10.54.41.100
Cybinka 1,12442,10.54.42.100
Dąbcze 1,12443,10.54.43.100
Gierzwałd 1,12444,10.54.44.100
Grabów nad Pilicą 1,12446,10.54.46.100
Grzebienisko 1,12447,10.54.47.100
Januszkowice (Opo) 1,12449,10.54.49.100
Jaźwina 1,12450,10.54.50.100
Jelonki 1,12451,10.54.51.100
Kierzno (Wlkp) 1,12453,10.54.53.100
Kołaczkowo (Wrzesiński) 1,12455,10.54.55.100
Korytnica (Węgrowski) 1,12456,10.54.56.100
Lipno (KujPom) 4,12458,10.54.58.100
Maksymilianowo (Wlkp) 1,12460,10.54.60.100
Miastkowo 1,12461,10.54.61.100
Oborniki (Wlkp) 2,12463,10.54.63.100
Pisz 1,12464,10.54.64.100
Radłów (opo) 1,12467,10.54.67.100
Rzepin 2,12469,10.54.69.100
Sępólno Krajeńskie 1,12470,10.54.70.100
Siemiatycze 1,12472,10.54.72.100
Siewierz 1,12473,10.54.73.100
Skierdy 1,12474,10.54.74.100
Słupie (Lubel) 1,12475,10.54.75.100
Snowidza 1,12476,10.54.76.100
Staroźreby 1,12478,10.54.78.100
Tarnowskie Góry 3,12480,10.54.80.100
Wapno 1,12482,10.54.82.100
Warszewice (KujPom) 1,12483,10.54.83.100
Zelów 1,12486,10.54.86.100
Zielonagóra (Szamotulski) 1,12487,10.54.87.100
Złotniki (Święt) 1,12488,10.54.88.100
zytuchom [V],12493,10.54.93.100
Bratian 1,12494,10.54.94.100
Drzewica (Łódz) 1,12496,10.54.96.100
Działyń (KujPom) 1,12497,10.54.97.100
Gębice (KujPom) 1,12498,10.54.98.100
Grudziądz 4,12501,10.55.1.100
Janikowo (KujPom) 1,12503,10.55.3.100
Janowiec (Lubel) 1,12504,10.55.4.100
Kłobuck 1,12506,10.55.6.100
Kokoszkowy 1,12507,10.55.7.100
Kowalewo Pomorskie 2,12509,10.55.9.100
Kruszwica 1,12511,10.55.11.100
Leszno 6,12513,10.55.13.100
Łąkociny 1,12515,10.55.15.100
Makowiska (Łódź) 1,12516,10.55.16.100
Maków Mazowiecki 1,12517,10.55.17.100
Maniowy 1,12518,10.55.18.100
Mochowo 1,12521,10.55.21.100
Mrocza 2,12522,10.55.22.100
Osiek nad Wisłą 1,12525,10.55.25.100
Ostrowice 1,12526,10.55.26.100
Palędzie 1,12527,10.55.27.100
Piekary Śląskie 4,12529,10.55.29.100
Polanica Zdrój 1,12530,10.55.30.100
Radomin (Kujpom) 1,12531,10.55.31.100
Rąbino 1,12532,10.55.32.100
Sadki 2,12533,10.55.33.100
Sianożęty 1,12534,10.55.34.100
Sławno (sławieński) 2,12535,10.55.35.100
Smardzewo (Lubus) 1,12536,10.55.36.100
Sochaczew 1,12537,10.55.37.100
Sząbruk 1,12539,10.55.39.100
Świerczów (opo) 1,12544,10.55.44.100
Teresin Gaj 1,12545,10.55.45.100
Widawa 1,12548,10.55.48.100
Wielkie Rychnowo 1,12549,10.55.49.100
Zbójno (KujPom) 1,12552,10.55.52.100
Ziębice 2,12554,10.55.54.100
Bydgoszcz 5,12557,10.55.57.100
Jemielno 1,12563,10.55.63.100
Ludomy 1,12564,10.55.64.100
Ożarów (Święt) 1,12565,10.55.65.100
Radzanowo 1,12567,10.55.67.100
Skarżysko-Kamienna 5,12568,10.55.68.100
Skorczów 1,12569,10.55.69.100
Sułów 1,12570,10.55.70.100
Swobnica 1,12571,10.55.71.100
Tłokinia Kościelna 1,12574,10.55.74.100
Baby 1,12575,10.55.75.100
Borów 1,12576,10.55.76.100
Budzów (Mał) 1,12577,10.55.77.100
Czarże 1,12579,10.55.79.100
Kramsk 1,12583,10.55.83.100
Osiecznica (Dol) 1,12588,10.55.88.100
Panieńszczyzna 1,12589,10.55.89.100
Rakoszyce 1,12593,10.55.93.100
Rokiciny Kolonia 1,12594,10.55.94.100
Rożental (Pom) 1,12595,10.55.95.100
Santok 1,12596,10.55.96.100
Strzałkowo (wlkp) 1,12597,10.55.97.100
Wielki Klincz 1,12599,10.55.99.100
Żagań 3,12602,10.56.2.100
Białogard 2,12606,10.56.6.100
Kępa Borzechowska 1,12607,10.56.7.100
Czempiń 2,12609,10.56.9.100
Kościelec (Kolski) 1,12612,10.56.12.100
Lichnowy (Malborski) 1,12613,10.56.13.100
Łubniany 1,12614,10.56.14.100
Wschowa 4,12618,10.56.18.100
Wizna 1,12622,10.56.22.100
Dąbrowa Zielona 1,12625,10.56.25.100
Osiek Mały (Wlkp) 1,12626,10.56.26.100
Sieroniowice 1,12630,10.56.30.100
Nakło nad Notecią 1,12631,10.56.31.100
Aleksandrów (Łódź) 1,12633,10.56.33.100
Chotcza 1,12635,10.56.35.100
Krośnica (Opo) 1,12639,10.56.39.100
Mirzec 1,12642,10.56.42.100
Radomsko 4,12644,10.56.44.100
Zakrzew (Wlkp) 1,12646,10.56.46.100
Chocianów 2,12648,10.56.48.100
Gilowice 1,12650,10.56.50.100
Rybojedzko (Wlkp) 1,12652,10.56.52.100
Chociwel (ZachPom) 1,12653,10.56.53.100
Trzydnik Duży 1,12654,10.56.54.100
Zamość (KujPom) 1,12656,10.56.56.100
Brdów 1,12657,10.56.57.100
Gomulin-Kolonia 1,12659,10.56.59.100
Rogozino 1,12663,10.56.63.100
Konin 3,12666,10.56.66.100
Racot 1,12669,10.56.69.100
Bojadła 1,12675,10.56.75.100
Bożejowice 1,12676,10.56.76.100
Jelcz-Laskowice 1,12677,10.56.77.100
Stara Dąbrowa (ZachPom) 1,12681,10.56.81.100
Wolica (Wlkp) 1,12683,10.56.83.100
Wysoka Kamieńska 1,12684,10.56.84.100
Góra 5,12685,10.56.85.100
Karlino 1,12686,10.56.86.100
Łącznik 1,12688,10.56.88.100
Pogorzela (Opo) 1,12691,10.56.91.100
Powiercie 1,12692,10.56.92.100
Rogowo (Rypiński) 1,12694,10.56.94.100
Sobótka (Ostrowski) 1,12695,10.56.95.100
Wierzchosławice (KujPom) 1,12697,10.56.97.100
Andrychów 1,12702,10.57.2.100
Bulowice 1,12703,10.57.3.100
Świdwin 2,12704,10.57.4.100
Stanomino 1,12705,10.57.5.100
Jordanów (Łódź) 1,12711,10.57.11.100
Wróblew (Sieradzki) 1,12712,10.57.12.100
Wielgomłyny 1,12713,10.57.13.100
Milejewo (Warmmaz) 1,12717,10.57.17.100
Mogilno (KujPom) 2,12718,10.57.18.100
Ostrowite (Golub-Dobrzyń) 1,12720,10.57.20.100
Augustów (Kowala) 1,12722,10.57.22.100
Bukownica (Ostrzeszowski) 1,12723,10.57.23.100
Miłocice (Oławski) 1,12725,10.57.25.100
Dźwierzuty 1,12728,10.57.28.100
Kamień Duży 1,12731,10.57.31.100
Ruszków Pierwszy 1,12735,10.57.35.100
Świątki (WarmMaz) 1,12738,10.57.38.100
Wyrzysk 2,12739,10.57.39.100
Komarówka Podlaska 1,12741,10.57.41.100
Kraśnik (Lubel) 1,12742,10.57.42.100
Stanowice (Oławski) 1,12743,10.57.43.100
Książki 1,12750,10.57.50.100
Lubicz Dolny 1,12751,10.57.51.100
Brzustów (Inowłódz) 1,12753,10.57.53.100
Kania Góra 1,12755,10.57.55.100
Kolesin 1,12756,10.57.56.100
Witoszyce 1,12760,10.57.60.100
Wodzierady 1,12761,10.57.61.100
Jamielnik (Nowomiejski) 1,12767,10.57.67.100
Warka 1,12770,10.57.70.100
Wąpielsk 1,12771,10.57.71.100
Godkowo 1,12778,10.57.78.100
Gronowo Elbląskie 1,12779,10.57.79.100
Lubcz (KujPom) 1,12780,10.57.80.100
Łazy (Piaseczyński) 1,12781,10.57.81.100
Przybranowo 1,12783,10.57.83.100
Trzebicz 1,12786,10.57.86.100
Władysławowo (Pom) 1,12787,10.57.87.100
Zągoty 1,12788,10.57.88.100
Strzebiń 1,12795,10.57.95.100
Budzisław Kościelny 1,12799,10.57.99.100
Pacyna 1,12801,10.58.1.100
Psary (wlkp) 1,12802,10.58.2.100
Adamowo 2,12803,10.58.3.100
Stare Koźle 1,12810,10.58.10.100
Strzelin 1,12811,10.58.11.100
Błędów (Grójecki) 1,12813,10.58.13.100
Braniewo 1,12814,10.58.14.100
Dobrzyń nad Wisłą 1,12815,10.58.15.100
Płock 1,12817,10.58.17.100
Szewce (Buk) 1,12819,10.58.19.100
Biała Rawska 1,12822,10.58.22.100
Wolbrom 1,12827,10.58.27.100
Zagórze Śląskie 1,12828,10.58.28.100
Bukowiec (Lub) 1,12829,10.58.29.100
Damasławek 2,12830,10.58.30.100
Kanie (Maz) 1,12831,10.58.31.100
Mańkowo (Płocki) 1,12832,10.58.32.100
Papowo Biskupie 1,12833,10.58.33.100
Przasnysz 1,12834,10.58.34.100
Rudzienice 1,12836,10.58.36.100
Dzierżoniów 2,12838,10.58.38.100
Korfantów 1,12841,10.58.41.100
Lubrza (Lubus) 1,12843,10.58.43.100
Rybnik (Śl) 2,12844,10.58.44.100
Skarżysko-Kamienna 3,12846,10.58.46.100
Śrem 2,12847,10.58.47.100
Tarchały Wielkie 1,12848,10.58.48.100
Cewice 1,12850,10.58.50.100
Drawno 2,12852,10.58.52.100
Sikórz (Maz) 1,12855,10.58.55.100
Wałdowo Szlacheckie 1,12856,10.58.56.100
Wierzchucino 1,12857,10.58.57.100
Częstochowa 1,12860,10.58.60.100
Milejów (Lubel) 1,12865,10.58.65.100
Przybysławice (Lubel) 1,12866,10.58.66.100
Płock 2,12871,10.58.71.100
Sulnowo 1,12872,10.58.72.100
Turośl (Podlaskie) 1,12874,10.58.74.100
Czernina 1,12875,10.58.75.100
Karłowice (Opo) 1,12877,10.58.77.100
Kolsko 1,12878,10.58.78.100
Mokrzyska 1,12881,10.58.81.100
Sobolew (Garwoliński) 1,12885,10.58.85.100
Radków (Święt) 1,12887,10.58.87.100
Siedlec (Mał) 1,12890,10.58.90.100
Sulmierzyce (Łódź) 1,12891,10.58.91.100
Kalisz Pomorski 1,12897,10.58.97.100
Międzyrzec Podlaski 1,12900,10.59.0.100
Naruszewo 1,12902,10.59.2.100
Piekuty Urbany 1,12903,10.59.3.100
Rościszewo (Maz) 1,12904,10.59.4.100
Turek 2,12905,10.59.5.100
Złocieniec 2,12906,10.59.6.100
Nowa Sól 3,12907,10.59.7.100
Wągrowiec 5,12916,10.59.16.100
Wrząca Wielka (Wlkp) 1,12917,10.59.17.100
Ustronie Morskie 2,12918,10.59.18.100
Lasowice Wielkie (Opo) 1,12922,10.59.22.100
Wieluń 1,12925,10.59.25.100
Wężyska 1,12926,10.59.26.100
Elbląg 1,12929,10.59.29.100
Goryszewo 1,12931,10.59.31.100
Gójsk 1,12932,10.59.32.100
Kolno (KujPom) 1,12933,10.59.33.100
Nowe Pieścirogi 1,12934,10.59.34.100
Sochaczew 2,12936,10.59.36.100
Toruń 1,12937,10.59.37.100
Turek 3,12939,10.59.39.100
Uzdowo 1,12940,10.59.40.100
Wójtowo (Barczewo) 1,12942,10.59.42.100
Białaczów 1,12944,10.59.44.100
Pełczyn (Lubel) 1,12949,10.59.49.100
Siepraw 1,12951,10.59.51.100
Sianów 1,12955,10.59.55.100
Łebcz 1,12958,10.59.58.100
Nowy Dwór (Dąbrowa Chełm) 1,12959,10.59.59.100
Padniewko 1,12960,10.59.60.100
Pasym 1,12961,10.59.61.100
Sokoły (Podl) 1,12962,10.59.62.100
Stęszew 2,12964,10.59.64.100
Mierzyn (Łódź) 1,12966,10.59.66.100
Świerczyna (Wlkp) 1,12969,10.59.69.100
Bolesławice (Pom) 1,12971,10.59.71.100
Kawęczyn (Turecki) 1,12972,10.59.72.100
Kowalki (KujPom) 1,12973,10.59.73.100
Pakosław (Nowotomyski) 1,12975,10.59.75.100
Siemianice (Pom) 1,12977,10.59.77.100
Bukówiec Górny 1,12979,10.59.79.100
Łódź 8,12984,10.59.84.100
Niwnica 1,12985,10.59.85.100
Polichna Druga 1,12987,10.59.87.100
Sobków 1,12988,10.59.88.100
Świerczyniec 1,12990,10.59.90.100
Wawrzeńczyce (Mał) 1,12991,10.59.91.100
Budowo 1,12993,10.59.93.100
Drawsko Pomorskie 2,12994,10.59.94.100
Izbica Kujawska 2,12995,10.59.95.100
Kurzętnik 1,12996,10.59.96.100
Zdziersk 1,12997,10.59.97.100
Wikielec 1,12998,10.59.98.100
Wronki (Wlkp) 1,12999,10.59.99.100
Częstochowa 2,13001,10.50.101.100
Trzebiesławice 1,13004,10.50.104.100
Siemiątkowo 1,13007,10.50.107.100
Trzemeszno (Gnieźnieński) 1,13010,10.50.110.100
Jeżów Sudecki 1,13012,10.50.112.100
Kwidzyn 1,13013,10.50.113.100
Olsztynek 1,13018,10.50.118.100
Samborowo 1,13019,10.50.119.100
Łukta 1,13021,10.50.121.100
Bogucice (Mał) 1,13022,10.50.122.100
Czarnocin (Święt) 1,13023,10.50.123.100
Ludwin 1,13024,10.50.124.100
Marcinów (Lubel) 1,13025,10.50.125.100
Zbytowa 1,13028,10.50.128.100
Radzionków 2,13030,10.50.130.100
Zawiercie 1,13031,10.50.131.100
Kąkolewnica 1,13032,10.50.132.100
Wągrowiec 4,13033,10.50.133.100
Osiek (Brodnicki) 1,13034,10.50.134.100
Kurowice (Łódź) 1,13035,10.50.135.100
Budziszewice (Łódz) 1,13036,10.50.136.100
Kamienica Polska 1,13038,10.50.138.100
Leszno 9,13039,10.50.139.100
Moszczanka (Opo) 1,13041,10.50.141.100
Olszyna (Ostrzeszowski) 1,13042,10.50.142.100
Pabianice 2,13043,10.50.143.100
Paczków (Opo) 1,13044,10.50.144.100
Walichnowy 1,13045,10.50.145.100
Drawsko Pomorskie 3,13047,10.50.147.100
Garczegorze 1,13049,10.50.149.100
Kicin (Wlkp) 1,13050,10.50.150.100
Lubraniec 1,13052,10.50.152.100
Witonia 1,13059,10.50.159.100
Głogów 3,13060,10.50.160.100
Karczmiska Pierwsze 1,13061,10.50.161.100
Lipie (Kłobucki) 1,13063,10.50.163.100
Nowe Miasteczko 2,13064,10.50.164.100
Magnuszowice 1,13066,10.50.166.100
Dziewierzewo 1,13070,10.50.170.100
Inowrocław 2,13072,10.50.172.100
Rybienko Nowe 1,13073,10.50.173.100
erzkowice (rynek) [N],13079,10.50.179.100
Henryków (Dol) 1,13089,10.50.189.100
Gierałcice (Kluczborski) 1,13090,10.50.190.100
Mława 2,13095,10.50.195.100
Olszyny (Warmmaz) 1,13096,10.50.196.100
Raciąż (Maz) 1,13099,10.50.199.100
Rudka (Warmmaz) 1,13101,10.51.101.100
Kalwaria Zebrzydowska 1,13107,10.51.107.100
Komorze Przybysławskie 1,13108,10.51.108.100
Jasień 2,13109,10.51.109.100
Nysa 2,13113,10.51.113.100
Ołdrzychowice Kłodzkie 1,13114,10.51.114.100
Wydawy (Rawicki) 1,13118,10.51.118.100
Zabór 1,13119,10.51.119.100
Gwda Mała 1,13127,10.51.127.100
Kolno (Podl) 1,13129,10.51.129.100
Grobla (Wlkp) 1,13130,10.51.130.100
Krasnosielc 1,13131,10.51.131.100
Rybno (Działdowski) 1,13135,10.51.135.100
Stawiguda 1,13137,10.51.137.100
Gorzów Wlkp. 2,13142,10.51.142.100
Wola Droszewska 1,13145,10.51.145.100
Bielsk (Maz) 1,13146,10.51.146.100
Ciachcin 1,13147,10.51.147.100
Góralice 1,13148,10.51.148.100
Radzanów (Mławski) 1,13150,10.51.150.100
Zakrzewo (Aleksandrowski) 1,13151,10.51.151.100
Gorzów Wlkp. 1,13152,10.51.152.100
Lubin 6,13157,10.51.157.100
Parchów 1,13159,10.51.159.100
Wólka Cycowska 1,13163,10.51.163.100
Osieczna (Pom) 1,13166,10.51.166.100
Stanin 1,13168,10.51.168.100
Świdry (Łukowski) 1,13170,10.51.170.100
Góra 4,13173,10.51.173.100
Olsztyn (Śl) 1,13175,10.51.175.100
Szynkielów 1,13178,10.51.178.100
Cerekwica (KujPom) 1,13179,10.51.179.100
Chodzież 1,13180,10.51.180.100
Pobiedziska 2,13184,10.51.184.100
Bielawa 4,13188,10.51.188.100
Branice 1,13189,10.51.189.100
Gnieździska 1,13190,10.51.190.100
Kraczewice Prywatne 1,13193,10.51.193.100
Lechów (Święt) 1,13194,10.51.194.100
Tuczępy (Święt) 1,13195,10.51.195.100
Uniejów 1,13196,10.51.196.100
Zygry 1,13197,10.51.197.100
Rawa Mazowiecka 2,13198,10.51.198.100
Świętoszów 1,13199,10.51.199.100
Brzyskorzystew 1,13201,10.52.101.100
Kruszynek (Włocławski) 1,13202,10.52.102.100
Rybno (Działdowski) 2,13205,10.52.105.100
Stojadła 1,13206,10.52.106.100
Strzegowo (Maz) 1,13207,10.52.107.100
Bydgoszcz 4,13210,10.52.110.100
Chechło (Mał) 1,13211,10.52.111.100
Lubomyśl 1,13214,10.52.114.100
Regnów 1,13217,10.52.117.100
Charzyno 1,13221,10.52.121.100
Ciechocinek 1,13222,10.52.122.100
Niekanin 1,13225,10.52.125.100
Karchów 1,13232,10.52.132.100
Lubin 5,13235,10.52.135.100
Pawłowice (Lipski) 1,13239,10.52.139.100
Piotrków Drugi 1,13240,10.52.140.100
Smęgorzów 1,13241,10.52.141.100
Węgry (Opo) 1,13243,10.52.143.100
Żabno (Mał) 1,13247,10.52.147.100
Bierzwienna Długa 1,13248,10.52.148.100
Chąśno 1,13250,10.52.150.100
Chociwel (ZachPom) 2,13251,10.52.151.100
Czarna Dąbrówka 1,13252,10.52.152.100
